Carrier,Route Code,Vessel Name,Vessel Capacity (in MT),Vessel Ramp Height (in meters),Voyage Number,Port Name,port_code,Date of Arrival (ETA),Date of Departure (ETD)
K-LINE,,CANADIAN HIGHWAY,,,127A,Zarate,AR ZAE,07/6/2021,
K-LINE,,COLUMBIA HIGHWAY,,,114A,Zarate,AR ZAE,17/6/2021,
K-LINE,,SHANGHAI HIGHWAY,,,158A,Zarate,AR ZAE,08/7/2021,
K-LINE,,FLORIDA HIGHWAY,,,126A,Vitoria,BR VIX,03/6/2021,
K-LINE,,CANADIAN HIGHWAY,,,127A,Vitoria,BR VIX,13/6/2021,
K-LINE,,COLUMBIA HIGHWAY,,,114A,Vitoria,BR VIX,23/6/2021,
K-LINE,,SHANGHAI HIGHWAY,,,158A,Vitoria,BR VIX,14/7/2021,
K-LINE,,FLORIDA HIGHWAY,,,126A,Suape,BR SUA,11/6/2021,
K-LINE,,CANADIAN HIGHWAY,,,127A,Suape,BR SUA,22/6/2021,
K-LINE,,COLUMBIA HIGHWAY,,,114A,Suape,BR SUA,02/7/2021,
K-LINE,,SHANGHAI HIGHWAY,,,158A,Suape,BR SUA,22/7/2021,
K-LINE,,FLORIDA HIGHWAY,,,126A,Io De Janeiro,AR ROS,04/6/2021,
K-LINE,,CANADIAN HIGHWAY,,,127A,Io De Janeiro,AR ROS,14/6/2021,
K-LINE,,COLUMBIA HIGHWAY,,,114A,Io De Janeiro,AR ROS,24/6/2021,
K-LINE,,FLORIDA HIGHWAY,,,127A,Io De Janeiro,AR ROS,19/7/2021,
K-LINE,,CANADIAN HIGHWAY,,,128A,Io De Janeiro,AR ROS,23/7/2021,
K-LINE,,SHANGHAI HIGHWAY,,,158A,Io De Janeiro,AR ROS,15/7/2021,
K-LINE,,SHANGHAI HIGHWAY,,,156A,Santos,BR SSZ,03/6/2021,
K-LINE,,FLORIDA HIGHWAY,,,126A,Santos,BR SSZ,07/6/2021,
K-LINE,,COLUMBIA HIGHWAY,,,113A,Santos,BR SSZ,13/6/2021,
K-LINE,,CANADIAN HIGHWAY,,,127A,Santos,BR SSZ,18/6/2021,
K-LINE,,CALIFORNIA HIGHWAY,,,117A,Santos,BR SSZ,17/6/2021,
K-LINE,,COLUMBIA HIGHWAY,,,114A,Santos,BR SSZ,27/6/2021,
K-LINE,,FLORIDA HIGHWAY,,,127A,Santos,BR SSZ,20/7/2021,
K-LINE,,CANADIAN HIGHWAY,,,128A,Santos,BR SSZ,25/7/2021,
K-LINE,,SHANGHAI HIGHWAY,,,158A,Santos,BR SSZ,17/7/2021,
K-LINE,,SHANGHAI HIGHWAY,,,156A,Paranagua,BR PNG,02/6/2021,
K-LINE,,FLORIDA HIGHWAY,,,126A,Paranagua,BR PNG,06/6/2021,
K-LINE,,CANADIAN HIGHWAY,,,127A,Paranagua,BR PNG,16/6/2021,
K-LINE,,COLUMBIA HIGHWAY,,,114A,Paranagua,BR PNG,25/6/2021,
K-LINE,,CANADIAN HIGHWAY,,,128A,Paranagua,BR PNG,27/7/2021,
K-LINE,,SHANGHAI HIGHWAY,,,158A,Paranagua,BR PNG,16/7/2021,
K-LINE,,COLUMBIA HIGHWAY,,,113A,Zarate,AR ZAE,17/6/2021,
K-LINE,,CALIFORNIA HIGHWAY,,,117A,Zarate,AR ZAE,23/6/2021,
K-LINE,,FLORIDA HIGHWAY,,,127A,Zarate,AR ZAE,24/7/2021,
K-LINE,,CANADIAN HIGHWAY,,,128A,Zarate,AR ZAE,30/7/2021,
