Carrier,Route Code,Vessel Name,Vessel Capacity (in MT),Vessel Ramp Height (in meters),Voyage Number,Port Name,port_code,Date of Arrival (ETA),Date of Departure (ETD)
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 102,"Freeport, TX",BS FPO,03/4/2022,28/3/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 102,"Jacksonville, FL",US JAX,29/3/2022,22/3/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 102,"Baltimore, MD",US BAL,12/4/2022,05/4/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 102,"Wilmington, DE",US ILM,13/4/2022,06/4/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 102,"Livorno, Italy",IT LIV,26/4/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 102,Thessaloniki,GR SKG,,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 102,"Alexandria, Egypt",EG EDK,,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 102,"Beirut, Lebanon",LB BEY,,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 102,"Mersin, Turkey",,,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 102,Israel,IL,,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 102,"Aqaba, Jordan",JO AQJ,04/5/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 102,"Jeddah, Saudi Arabia",SA JED,06/5/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 102,"Sohar, Oman",,20/5/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 102,"Jebel Ali, UAE",,16/5/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 102,"Abu Dhabi, UAE",,24/5/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 102,"Hamad, Qatar",,17/5/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 102,"Bahrain, Bahrain",BH KBS,26/5/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 102,"Dammam, Saudi Arabia",SA DMN,18/5/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 102,"Shuaiba, Kuwait",,21/5/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 102,"Shuwaikh, Kuwait",KW SWK,28/5/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 102,"Karachi, Pakistan",PK KHI,,
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,, 102,"Umm Qasr, Iraq",IQ UQR,20/5/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 96,"Freeport, TX",BS FPO,24/5/2022,17/5/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 96,"Jacksonville, FL",US JAX,31/5/2022,24/5/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 96,"Baltimore, MD",US BAL,03/6/2022,27/5/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 96,"Wilmington, DE",US ILM,05/6/2022,27/5/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 96,"Livorno, Italy",IT LIV,17/6/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 96,Thessaloniki,GR SKG,22/6/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 96,"Alexandria, Egypt",EG EDK,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 96,"Beirut, Lebanon",LB BEY,25/6/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 96,"Mersin, Turkey",,11/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 96,Israel,IL,04/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 96,"Aqaba, Jordan",JO AQJ,28/6/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 96,"Jeddah, Saudi Arabia",SA JED,01/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 96,"Sohar, Oman",,11/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 96,"Jebel Ali, UAE",,08/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 96,"Abu Dhabi, UAE",,18/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 96,"Hamad, Qatar",,10/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 96,"Bahrain, Bahrain",BH KBS,18/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 96,"Dammam, Saudi Arabia",SA DMN,11/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 96,"Shuaiba, Kuwait",,13/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 96,"Shuwaikh, Kuwait",KW SWK,18/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 96,"Karachi, Pakistan",PK KHI,,
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,, 96,"Umm Qasr, Iraq",IQ UQR,15/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Freeport, TX",BS FPO,16/6/2022,09/6/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Jacksonville, FL",US JAX,11/6/2022,06/6/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Baltimore, MD",US BAL,05/6/2022,27/5/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Wilmington, DE",US ILM,24/6/2022,17/6/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Livorno, Italy",IT LIV,,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,Thessaloniki,GR SKG,08/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Alexandria, Egypt",EG EDK,,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Beirut, Lebanon",LB BEY,11/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Mersin, Turkey",,27/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,Israel,IL,22/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Aqaba, Jordan",JO AQJ,16/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Jeddah, Saudi Arabia",SA JED,20/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Sohar, Oman",,30/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Jebel Ali, UAE",,28/7/2022,
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,, 40,"Abu Dhabi, UAE",,07/8/2022,
