Port_Code,Country-Code,Route-Code
AE AUH,AE,EU
AE JEA,AE,EU
AR PUB,AR,SA
AR SFN,AR,SA
AR ZAE,AR,SA
AU BNE,AU,OC
AU FRE,AU,OC
AU MEL,AU,OC
AU MKY,AU,OC
AU NTL,AU,OC
AU PAE,AU,OC
AU PKL,AU,OC
BE ANR,BE,EU
BE ZEE,BE,EU
BH KBS,BH,AS
BH TOW,BH,AS
BO RUS,BO,EU
MX ATM,MX,
BR PNG,BR,SA
BR RIG,BR,SA
BR RIO,BR,SA
BR SSA,BR,SA
BR SSZ,BR,SA
BR SUA,BR,SA
BR VIX,BR,SA
BS FPO,BS,
CA HAL,CA,
CA NWE,CA,
CA TIY,CA,
CA VAN,CA,
CL IQQ,CL,SA
CL PAG,CL,SA
CL SAI,CL,SA
CN CAN,CN,AS
CN HUA,CN,AS
CN LYG,CN,AS
CN SHA,CN,AS
CN TSN,CN,AS
CN XGA,CN,AS
CN XMN,CN,AS
CO CNR,CO,SA
CO CTG,CO,SA
CO SDI,CO,SA
CU MZO,CU,SA
CY LAT,CY,AS
DE BRV,DE,EU
DE EME,DE,EU
DE HAM,DE,EU
DJ JIB,DJ,EU
EC ESM,EC,SA
EC MEC,EC,SA
EG,EG,AS
EG EDK,EG,AS
ES BCN,ES,EU
ES SAG,ES,EU
ES SDR,ES,EU
ES TAR,ES,EU
ES VGO,ES,EU
ES VLC,ES,EU
FR LEH,FR,EU
GB BRS,GB,EU
GB IMM,GB,EU
GB LIV,GB,EU
GB SHS,GB,EU
GB SOU,GB,EU
GB TEE,GB,EU
GB TYN,GB,EU
GR PIR,GR,EU
GT STC,GT,
HK HKG,HK,AS
ID TPP,ID,AS
IN BOM,IN,AS
IN ENR,IN,AS
IT CVV,IT,EU
IT GIT,IT,EU
IT LIV,IT,EU
IT SVN,IT,EU
JM KIN,JM,
JO AQJ,JO,AS
JP CHB,JP,AS
JP GAM,JP,AS
JP HHR,JP,AS
JP HIC,JP,AS
JP HIJ,JP,AS
JP HTC,JP,AS
JP KND,JP,AS
JP KWS,JP,AS
JP NAN,JP,AS
JP NGO,JP,AS
JP OMZ,JP,AS
JP OSA,JP,AS
JP THS,JP,AS
JP UKB,JP,AS
JP YKK,JP,AS
JP YOK,JP,AS
JP YOS,JP,AS
KE MBA,KE,EU
KR INC,KR,AS
KR KUV,KR,AS
KR MAS,KR,AS
KR PTK,KR,AS
KR USN,KR,AS
KW KWI,KW,EU
LB BEY,LB,AS
MA TNG,MA,EU
MG TOA,MG,EU
MT MLA,MT,AS
MX LZC,MX,
MX MZT,MX,
MX VER,MX,
MY PKL,MY,EU
NC NOU,NC,EU
NL AMS,NL,EU
NL IJM,NL,EU
NL RTM,NL,EU
NZ AKL,NZ,OC
OM SOH,OM,EU
PE CLL,PE,SA
RE,RE,EU
SA DMN,SA,AS
SA JED,SA,AS
SD PZU,SD,AS
SE GOT,SE,EU
SE MMA,SE,EU
SE WAL,SE,EU
SG SIN,SG,AS
SI KOP,SI,EU
TH LCH,TH,AS
TR DRC,TR,EU
TR GEM,TR,EU
TR IZM,TR,EU
TR MER,TR,EU
TW KEL,TW,AS
TW TPE,TW,AS
TW TXG,TW,AS
TZ DAR,TZ,AF
US ACI,US,
US BAL,US,
US BCK,US,
US BNC,US,
US CHS,US,
US GLS,US,
US HNL,US,
US HNV,US,
US HOU,US,
US ILM,US,
US JAX,US,
US LGB,US,
US MOB,US,
US NNS,US,
US NTD,US,
