Carrier,Route Code,Vessel Name,Vessel Capacity (in MT),Vessel Ramp Height (in meters),Voyage Number,Port Name,port_code,Date of Arrival (ETA),Date of Departure (ETD)
ACLCARGO,EU-NA,ATLANTIC SUN,NA,NA,ASU9222,Antwerpen,BE ANR,2022/05/25,
ACLCARGO,EU-NA,ATLANTIC SUN,NA,NA,ASU9222,Gothenburg,SE GOT,2022/05/23,
ACLCARGO,EU-NA,ATLANTIC SUN,NA,NA,ASU9222,Liverpool,GB LIV,2022/05/27,
ACLCARGO,NA-EU,ATLANTIC SUN,NA,NA,ASU9222,Halifax,CA HAL,2022/06/05,
ACLCARGO,NA-EU,ATLANTIC SUN,NA,NA,ASU9222,New York,US NYC,2022/06/07,
ACLCARGO,NA-EU,ATLANTIC SUN,NA,NA,ASU9222,Baltimore,US BAL,2022/06/10,
ACLCARGO,NA-EU,ATLANTIC SUN,NA,NA,ASU9222,Norfolk,US HNV,2022/06/11,
ACLCARGO,EU-NA,ATLANTIC SKY,NA,NA,ATK8822,Antwerpen,BE ANR,2022/05/28,
ACLCARGO,EU-NA,ATLANTIC SKY,NA,NA,ATK8822,Liverpool,GB LIV,2022/05/30,
ACLCARGO,NA-EU,ATLANTIC SKY,NA,NA,ATK8822,Halifax,CA HAL,2022/06/08,
ACLCARGO,NA-EU,ATLANTIC SKY,NA,NA,ATK8822,New York,US NYC,2022/06/10,
ACLCARGO,NA-EU,ATLANTIC SKY,NA,NA,ATK8822,Baltimore,US BAL,2022/06/13,
ACLCARGO,NA-EU,ATLANTIC SKY,NA,NA,ATK8822,Norfolk,US HNV,2022/06/14,
ACLCARGO,EU-NA,ATLANTIC SEA,NA,NA,ATE8922,Antwerpen,BE ANR,2022/06/02,
ACLCARGO,EU-NA,ATLANTIC SEA,NA,NA,ATE8922,Liverpool,GB LIV,2022/06/04,
ACLCARGO,NA-EU,ATLANTIC SEA,NA,NA,ATE8922,Halifax,CA HAL,2022/06/13,
ACLCARGO,NA-EU,ATLANTIC SEA,NA,NA,ATE8922,New York,US NYC,2022/06/15,
ACLCARGO,NA-EU,ATLANTIC SEA,NA,NA,ATE8922,Baltimore,US BAL,2022/06/18,
ACLCARGO,NA-EU,ATLANTIC SEA,NA,NA,ATE8922,Norfolk,US HNV,2022/06/19,
ACLCARGO,EU-NA,ATLANTIC SAIL,NA,NA,ATS8522,Antwerpen,BE ANR,2022/06/12,
ACLCARGO,EU-NA,ATLANTIC SAIL,NA,NA,ATS8522,Liverpool,GB LIV,2022/06/15,
ACLCARGO,NA-EU,ATLANTIC SAIL,NA,NA,ATS8522,Halifax,CA HAL,2022/06/23,
ACLCARGO,NA-EU,ATLANTIC SAIL,NA,NA,ATS8522,New York,US NYC,2022/06/25,
ACLCARGO,NA-EU,ATLANTIC SAIL,NA,NA,ATS8522,Baltimore,US BAL,2022/06/28,
ACLCARGO,NA-EU,ATLANTIC SAIL,NA,NA,ATS8522,Norfolk,US HNV,2022/06/29,
ACLCARGO,EU-NA,ATLANTIC STAR,NA,NA,AST9222,Antwerpen,BE ANR,2022/06/19,
ACLCARGO,EU-NA,ATLANTIC STAR,NA,NA,AST9222,Liverpool,GB LIV,2022/06/22,
ACLCARGO,NA-EU,ATLANTIC STAR,NA,NA,AST9222,Halifax,CA HAL,2022/06/30,
ACLCARGO,NA-EU,ATLANTIC STAR,NA,NA,AST9222,New York,US NYC,2022/07/02,
ACLCARGO,NA-EU,ATLANTIC STAR,NA,NA,AST9222,Baltimore,US BAL,2022/07/05,
ACLCARGO,NA-EU,ATLANTIC STAR,NA,NA,AST9222,Norfolk,US HNV,2022/07/06,
ACLCARGO,EU-NA,ATLANTIC SUN,NA,NA,ASU9422,Antwerpen,BE ANR,2022/06/25,
ACLCARGO,EU-NA,ATLANTIC SUN,NA,NA,ASU9422,Liverpool,GB LIV,2022/06/28,
ACLCARGO,NA-EU,ATLANTIC SUN,NA,NA,ASU9422,Halifax,CA HAL,2022/07/06,
ACLCARGO,NA-EU,ATLANTIC SUN,NA,NA,ASU9422,New York,US NYC,2022/07/08,
ACLCARGO,NA-EU,ATLANTIC SUN,NA,NA,ASU9422,Baltimore,US BAL,2022/07/11,
ACLCARGO,NA-EU,ATLANTIC SUN,NA,NA,ASU9422,Norfolk,US HNV,2022/07/12,
ACLCARGO,EU-NA,ATLANTIC SKY,NA,NA,ATK9022,Antwerpen,BE ANR,2022/06/30,
ACLCARGO,EU-NA,ATLANTIC SKY,NA,NA,ATK9022,Liverpool,GB LIV,2022/07/02,
ACLCARGO,NA-EU,ATLANTIC SKY,NA,NA,ATK9022,Halifax,CA HAL,2022/07/11,
ACLCARGO,NA-EU,ATLANTIC SKY,NA,NA,ATK9022,New York,US NYC,2022/07/13,
ACLCARGO,NA-EU,ATLANTIC SKY,NA,NA,ATK9022,Baltimore,US BAL,2022/07/16,
ACLCARGO,NA-EU,ATLANTIC SKY,NA,NA,ATK9022,Norfolk,US HNV,2022/07/17,
ACLCARGO,EU-NA,ATLANTIC SEA,NA,NA,ATE9122,Antwerpen,BE ANR,2022/07/07,
ACLCARGO,EU-NA,ATLANTIC SEA,NA,NA,ATE9122,Liverpool,GB LIV,2022/07/09,
ACLCARGO,NA-EU,ATLANTIC SEA,NA,NA,ATE9122,Halifax,CA HAL,2022/07/18,
ACLCARGO,NA-EU,ATLANTIC SEA,NA,NA,ATE9122,New York,US NYC,2022/07/20,
ACLCARGO,NA-EU,ATLANTIC SEA,NA,NA,ATE9122,Baltimore,US BAL,2022/07/23,
ACLCARGO,NA-EU,ATLANTIC SEA,NA,NA,ATE9122,Norfolk,US HNV,2022/07/24,
ACLCARGO,EU-NA,ATLANTIC SAIL,NA,NA,ATS8722,Antwerpen,BE ANR,2022/07/15,
ACLCARGO,EU-NA,ATLANTIC SAIL,NA,NA,ATS8722,Liverpool,GB LIV,2022/07/18,
ACLCARGO,NA-EU,ATLANTIC SAIL,NA,NA,ATS8722,Halifax,CA HAL,2022/07/25,
ACLCARGO,NA-EU,ATLANTIC SAIL,NA,NA,ATS8722,New York,US NYC,2022/07/27,
ACLCARGO,NA-EU,ATLANTIC SAIL,NA,NA,ATS8722,Baltimore,US BAL,2022/07/30,
ACLCARGO,NA-EU,ATLANTIC SAIL,NA,NA,ATS8722,Norfolk,US HNV,2022/07/31,
ACLCARGO,NA-EU,ATLANTIC SAIL,NA,NA,ATS8422,Baltimore,US BAL,2022/05/30,
ACLCARGO,EU-NA,ATLANTIC SAIL,NA,NA,ATS8422,Hamburg,DE HAM,2022/06/09,
ACLCARGO,EU-NA,ATLANTIC SAIL,NA,NA,ATS8422,Antwerpen,BE ANR,2022/06/11,
ACLCARGO,EU-NA,ATLANTIC SAIL,NA,NA,ATS8422,Gothenburg,SE GOT,2022/06/13,
ACLCARGO,EU-NA,ATLANTIC SAIL,NA,NA,ATS8422,Liverpool,GB LIV,2022/06/15,
ACLCARGO,NA-EU,ATLANTIC STAR,NA,NA,AST9122,Baltimore,US BAL,2022/06/04,
ACLCARGO,NA-EU,ATLANTIC STAR,NA,NA,AST9122,Halifax,CA HAL,2022/06/07,
ACLCARGO,EU-NA,ATLANTIC STAR,NA,NA,AST9122,Hamburg,DE HAM,2022/06/16,
ACLCARGO,EU-NA,ATLANTIC STAR,NA,NA,AST9122,Antwerpen,BE ANR,2022/06/18,
ACLCARGO,EU-NA,ATLANTIC STAR,NA,NA,AST9122,Gothenburg,SE GOT,2022/06/20,
ACLCARGO,EU-NA,ATLANTIC STAR,NA,NA,AST9122,Liverpool,GB LIV,2022/06/22,
ACLCARGO,NA-EU,ATLANTIC SUN,NA,NA,ASU9322,Baltimore,US BAL,2022/06/10,
ACLCARGO,NA-EU,ATLANTIC SUN,NA,NA,ASU9322,Halifax,CA HAL,2022/06/13,
ACLCARGO,EU-NA,ATLANTIC SUN,NA,NA,ASU9322,Hamburg,DE HAM,2022/06/22,
ACLCARGO,EU-NA,ATLANTIC SUN,NA,NA,ASU9322,Antwerpen,BE ANR,2022/06/24,
ACLCARGO,EU-NA,ATLANTIC SUN,NA,NA,ASU9322,Gothenburg,SE GOT,2022/06/27,
ACLCARGO,EU-NA,ATLANTIC SUN,NA,NA,ASU9322,Liverpool,GB LIV,2022/06/28,
ACLCARGO,NA-EU,ATLANTIC SKY,NA,NA,ATK8922,Baltimore,US BAL,2022/06/13,
ACLCARGO,NA-EU,ATLANTIC SKY,NA,NA,ATK8922,Halifax,CA HAL,2022/06/15,
ACLCARGO,EU-NA,ATLANTIC SKY,NA,NA,ATK8922,Liverpool,GB LIV,2022/06/22,
