Carrier,Route Code,Vessel Name,Vessel Capacity (in MT),Vessel Ramp Height (in meters),Voyage Number,Port Name,port_code,Date of Arrival (ETA),Date of Departure (ETD)
HOG,,HÖEGH BEIJING ,,,124,Port Of Spain,TT POS,10/5/2022,11/5/2022
HOG,,HÖEGH BEIJING ,,,124,Santa Marta,AR SFN,13/5/2022,13/5/2022
HOG,,HÖEGH BEIJING ,,,123,Cartagena,CO CTG,14/5/2022,14/5/2022
HOG,,HÖEGH BEIJING ,,,124,Cartagena,CO CTG,14/5/2022,14/5/2022
HOG,,HÖEGH BEIJING ,,,124,Manzanillo,CU MZO,15/5/2022,15/5/2022
HOG,,HÖEGH BEIJING ,,,124,Puerto,HN PCR,18/5/2022,18/5/2022
HOG,,HÖEGH BEIJING ,,,124,Nassau,BS NAS,22/5/2022,22/5/2022
HOG,,HÖEGH BEIJING ,,,125,Nassau,BS NAS,22/5/2022,22/5/2022
HOG,,HÖEGH BEIJING ,,,124,Port Everglades,US PEF,26/5/2022,27/5/2022
HOG,,HÖEGH BEIJING ,,,125,Port Everglades,US PEF,26/5/2022,27/5/2022
HOG,,HÖEGH BEIJING ,,,124,Kingston,JM KIN,30/5/2022,30/5/2022
HOG,,HÖEGH BEIJING ,,,125,Kingston,JM KIN,30/5/2022,30/5/2022
HOG,,HÖEGH BEIJING ,,,124,Port-Au-Prince,HT PAP,01/6/2022,01/6/2022
HOG,,HÖEGH BEIJING ,,,125,Port-Au-Prince,HT PAP,01/6/2022,01/6/2022
HOG,,HÖEGH BEIJING ,,,124,Santo Domingo,DO SDQ,03/6/2022,03/6/2022
HOG,,HÖEGH BEIJING ,,,125,Santo Domingo,DO SDQ,03/6/2022,03/6/2022
HOG,,HÖEGH BEIJING ,,,125,Kingston,JM KIN,05/6/2022,05/6/2022
HOG,,HÖEGH BEIJING ,,,124,Philipsburg,AN PHI,08/6/2022,08/6/2022
HOG,,HÖEGH BEIJING ,,,125,Philipsburg,AN PHI,08/6/2022,08/6/2022
HOG,,HÖEGH BEIJING ,,,124,Port Of Spain,TT POS,10/6/2022,10/6/2022
HOG,,HÖEGH BEIJING ,,,125,Port Of Spain,TT POS,10/6/2022,10/6/2022
HOG,,HÖEGH BEIJING ,,,124,Santa Marta,AR SFN,13/6/2022,13/6/2022
