Carrier,Route Code,Vessel Name,Vessel Capacity (in MT),Vessel Ramp Height (in meters),Voyage Number,Port Name,port_code,Date of Arrival (ETA),Date of Departure (ETD)
MOL,ISCSAF-SL,BLANCO ACE,,,BLANCO ACE 0008A,Mombasa ,KE MBA,23/5/2022,24/5/2022
MOL,ISCSAF-SL,BLANCO ACE,,,BLANCO ACE 0007A,Mombasa ,KE MBA,23/5/2022,24/5/2022
MOL,NAAS-MAGELLAN,NEPTUNE ACE,,,NEPTUNE ACE 0092A,Zarate,AR ZAE,23/5/2022,24/5/2022
MOL,3CS,DIVINE ACE,,,DIVINE ACE 0078A,Baltimore,US BAL,24/5/2022,24/5/2022
MOL,EUROPE COMBIND,SANDERLING ACE,,,SANDERLING ACE 0102A,Iskenderun ,TR ISK,24/5/2022,25/5/2022
MOL,MXUS-EAST,BRAVERY ACE,,,BRAVERY ACE 0139A,Veracruz,MX VER,23/5/2022,25/5/2022
MOL,ESPEX,SPLENDID ACE,,,SPLENDID ACE 0144A,Toyohashi,JP THS,25/5/2022,25/5/2022
MOL,INDIA/WEST AFRICA,GENUINE ACE,,,GENUINE ACE 0077A,Luanda ,AO LAD,24/5/2022,25/5/2022
MOL,ESPEX,MERCURY ACE,,,MERCURY ACE 0084A,Antwerpen,BE ANR,24/5/2022,25/5/2022
MOL,INTRA ASIA(MOL OPERATED),WORLD SPIRIT,,,WORLD SPIRIT 0234A,Jakarta,ID TPP,25/5/2022,25/5/2022
MOL,INDIA/RED SEA,MERIDIAN ACE,,,MERIDIAN ACE 0186A,Mumbai,IN BOM,24/5/2022,25/5/2022
MOL,ESPEX,BELUGA ACE,,,BELUGA ACE 0036A,Zeebrugge ,BE ZEE,25/5/2022,25/5/2022
MOL,INTRA ASIA(MOL OPERATED),ASTRAL ACE,,,ASTRAL ACE 0334A,Laem Chabang ,TH LCH,25/5/2022,26/5/2022
MOL,INTRA ASIA(MOL OPERATED),ASTRAL ACE,,,ASTRAL ACE 0333A,Laem Chabang ,TH LCH,25/5/2022,26/5/2022
MOL,ESPEX,WISDOM ACE,,,WISDOM ACE 0072A,Koper,SI KOP,24/5/2022,26/5/2022
MOL,ESPEX,PRIME ACE,,,PRIME ACE 0064A,Pyeongtaek ,KR PTK,24/5/2022,26/5/2022
MOL,ISCSAF-SL,PRECIOUS ACE,,,PRECIOUS ACE 0080A,Mumbai,IN BOM,25/5/2022,26/5/2022
MOL,3CS,SERENITY ACE,,,SERENITY ACE 0106A,Zarate,AR ZAE,25/5/2022,26/5/2022
MOL,ESPEX,AZUL ACE,,,AZUL ACE 0008A,Xingang,CN XGA,25/5/2022,26/5/2022
MOL,MXUS-EAST,ADRIA ACE,,,ADRIA ACE 0112A,Jacksonville ,US JAX,26/5/2022,26/5/2022
MOL,ESPEX,MIRACULOUS ACE,,,MIRACULOUS ACE 0112A,Hong Kong ,HK HKG,26/5/2022,26/5/2022
MOL,ESPEX,SPLENDID ACE,,,SPLENDID ACE 0144A,Hitachi ,JP HTC,26/5/2022,26/5/2022
MOL,SOUTH AMERICA TOYOTA FULL,LIBERTY ACE,,,LIBERTY ACE 0138A,Callao ,PE CLL,26/5/2022,27/5/2022
MOL,INDIA/MIDDLE EAST,SUNRISE ACE,,,SUNRISE ACE 0109A,Ennore,IN ENR,26/5/2022,27/5/2022
MOL,NAPEX,AQUAMARINE ACE,,,AQUAMARINE ACE 0119A,Xinsha ,CN XNA,25/5/2022,27/5/2022
MOL,MXUS-EAST,ADRIA ACE,,,ADRIA ACE 0112A,Brunswick,US BCK,27/5/2022,27/5/2022
MOL,3CS,PROGRESS ACE,,,PROGRESS ACE 0143A,Singapore ,SG SIN,27/5/2022,27/5/2022
MOL,3CS,DIVINE ACE,,,DIVINE ACE 0078A,Brunswick,US BCK,27/5/2022,27/5/2022
MOL,UPAC,VALIANT ACE,,,VALIANT ACE 0081A,Durban ,ZA DUR,27/5/2022,28/5/2022
MOL,INTRA ASIA(MOL OPERATED),WORLD SPIRIT,,,WORLD SPIRIT 0234A,Port Kelang,MY PKL,28/5/2022,28/5/2022
MOL,UPAC,GLORIOUS ACE,,,GLORIOUS ACE 0076A,Baltimore,US BAL,28/5/2022,28/5/2022
MOL,ESPEX,BELUGA ACE,,,BELUGA ACE 0036A,Bristol ,GB BRS,28/5/2022,28/5/2022
MOL,SAFEU,MARVELOUS ACE,,,MARVELOUS ACE 0122A,Durban ,ZA DUR,25/5/2022,28/5/2022
MOL,INDIA/MIDDLE EAST,SALVIA ACE,,,SALVIA ACE 0127A,Jebel,AE JEA,28/5/2022,29/5/2022
MOL,ESPEX,MIRACULOUS ACE,,,MIRACULOUS ACE 0112A,Xinsha ,CN XNA,28/5/2022,29/5/2022
MOL,INTRA ASIA(MOL OPERATED),ASTRAL ACE,,,ASTRAL ACE 0334A,Singapore ,SG SIN,28/5/2022,29/5/2022
MOL,EUROPE COMBIND,SANDERLING ACE,,,SANDERLING ACE 0102A,Misurata ,LY MRA,28/5/2022,29/5/2022
MOL,INDIA/WEST AFRICA,ELEGANT ACE,,,ELEGANT ACE 0071A,Sohar ,OM SOH,28/5/2022,29/5/2022
MOL,INTRA ASIA(MOL OPERATED),WORLD SPIRIT,,,WORLD SPIRIT 0234A,Singapore ,SG SIN,29/5/2022,29/5/2022
MOL,UPAC,VALIANT ACE,,,VALIANT ACE 0081A,East London ,ZA ELS,29/5/2022,29/5/2022
MOL,SAFEU,MARVELOUS ACE,,,MARVELOUS ACE 0122A,East London ,ZA ELS,29/5/2022,29/5/2022
MOL,NAPEX,FREEDOM ACE,,,FREEDOM ACE 0151A,Xinsha ,CN XNA,27/5/2022,30/5/2022
MOL,INDIA/MIDDLE EAST,SALVIA ACE,,,SALVIA ACE 0127A,Bahrain,BH KBS,30/5/2022,30/5/2022
MOL,NAAS-MAGELLAN,MERMAID ACE,,,MERMAID ACE 0097A,Pyeongtaek ,KR PTK,30/5/2022,30/5/2022
MOL,WC SOUTH AMERICA COMBINED,TRIUMPH ACE,,,TRIUMPH ACE 0167A,Callao ,PE CLL,30/5/2022,30/5/2022
MOL,INDIA/MIDDLE EAST,SALVIA ACE,,,SALVIA ACE 0127A,Hamad,BH TOW,30/5/2022,31/5/2022
MOL,ESPEX,AZUL ACE,,,AZUL ACE 0008A,Hitachi ,JP HTC,30/5/2022,31/5/2022
MOL,INDIA/RED SEA,MERIDIAN ACE,,,MERIDIAN ACE 0186A,Djibouti ,DJ JIB,30/5/2022,31/5/2022
MOL,INTRA ASIA(MOL OPERATED),ASTRAL ACE,,,ASTRAL ACE 0334A,Jakarta,ID TPP,31/5/2022,31/5/2022
MOL,ISCSAF-SL,PRECIOUS ACE,,,PRECIOUS ACE 0080A,Ennore,IN ENR,30/5/2022,31/5/2022
MOL,UPAC,GLORIOUS ACE,,,GLORIOUS ACE 0076A,Charleston,US CHS,31/5/2022,31/5/2022
MOL,MXUS-EAST,ADRIA ACE,,,ADRIA ACE 0112A,Baltimore,US BAL,31/5/2022,31/5/2022
MOL,3CS,DIVINE ACE,,,DIVINE ACE 0078A,Cartagena,CO CTG,01/6/2022,01/6/2022
MOL,3CS,PROGRESS ACE,,,PROGRESS ACE 0143A,Taichung ,TW TXG,01/6/2022,01/6/2022
MOL,UPAC,GLORIOUS ACE,,,GLORIOUS ACE 0076A,Brunswick,US BCK,01/6/2022,01/6/2022
MOL,INTRA ASIA(MOL OPERATED),WORLD SPIRIT,,,WORLD SPIRIT 0235A,Laem Chabang ,TH LCH,01/6/2022,02/6/2022
MOL,INTRA ASIA(MOL OPERATED),WORLD SPIRIT,,,WORLD SPIRIT 0234A,Laem Chabang ,TH LCH,01/6/2022,02/6/2022
MOL,SOUTH AMERICA TOYOTA FULL,LIBERTY ACE,,,LIBERTY ACE 0138A,Balboa ,CO BAL,01/6/2022,02/6/2022
MOL,INDIA/MIDDLE EAST,SALVIA ACE,,,SALVIA ACE 0128A,Kuwait,KW KWI,01/6/2022,02/6/2022
MOL,INDIA/MIDDLE EAST,SALVIA ACE,,,SALVIA ACE 0127A,Kuwait,KW KWI,01/6/2022,02/6/2022
MOL,ESPEX,SANDERLING ACE,,,SANDERLING ACE 0103A,Koper,SI KOP,31/5/2022,02/6/2022
MOL,MXUS-EAST,BRAVERY ACE,,,BRAVERY ACE 0139A,Newark,GB NRK,01/6/2022,02/6/2022
MOL,WC SOUTH AMERICA COMBINED,PROMINENT ACE,,,PROMINENT ACE 0148A,Ningbo ,CN NGB,30/5/2022,02/6/2022
MOL,ISCSAF-SL,BLANCO ACE,,,BLANCO ACE 0008A,Mumbai,IN BOM,02/6/2022,03/6/2022
MOL,INTRA ASIA(MOL OPERATED),ASTRAL ACE,,,ASTRAL ACE 0334A,Port Kelang,MY PKL,03/6/2022,03/6/2022
MOL,NAAS-MAGELLAN,TRANQUIL ACE,,,TRANQUIL ACE 0097A,Zeebrugge ,BE ZEE,03/6/2022,03/6/2022
MOL,ESPEX,MERCURY ACE,,,MERCURY ACE 0084A,Koper,SI KOP,02/6/2022,04/6/2022
MOL,INDIA/WEST AFRICA,GENUINE ACE,,,GENUINE ACE 0077A,Tema ,GH TEM,04/6/2022,04/6/2022
MOL,NAAS-MAGELLAN,NEPTUNE ACE,,,NEPTUNE ACE 0092A,San Antonio,CL SAI,03/6/2022,04/6/2022
MOL,MXUS-EAST,BRAVERY ACE,,,BRAVERY ACE 0139A,Baltimore,US BAL,04/6/2022,04/6/2022
MOL,INTRA ASIA(MOL OPERATED),WORLD SPIRIT,,,WORLD SPIRIT 0235A,Singapore ,SG SIN,04/6/2022,05/6/2022
MOL,ESPEX,MIRACULOUS ACE,,,MIRACULOUS ACE 0112A,Shanghai,CN SHA,04/6/2022,05/6/2022
MOL,3CS,PROGRESS ACE,,,PROGRESS ACE 0143A,Toyohashi,JP THS,05/6/2022,05/6/2022
MOL,SOUTH AMERICA TOYOTA FULL,LIBERTY ACE,,,LIBERTY ACE 0138A,Corinto ,NI CIO,05/6/2022,06/6/2022
MOL,INDIA/WEST AFRICA,ELEGANT ACE,,,ELEGANT ACE 0071A,Jebel,AE JEA,04/6/2022,06/6/2022
MOL,INDIA/WEST AFRICA,GENUINE ACE,,,GENUINE ACE 0077A,Abidjan ,CI ABJ,06/6/2022,06/6/2022
MOL,ESPEX,BELUGA ACE,,,BELUGA ACE 0036A,Koper,SI KOP,04/6/2022,06/6/2022
MOL,3CS,PROGRESS ACE,,,PROGRESS ACE 0143A,Hitachi ,JP HTC,06/6/2022,06/6/2022
MOL,INDIA/MIDDLE EAST,SUNRISE ACE,,,SUNRISE ACE 0109A,Jebel,AE JEA,05/6/2022,07/6/2022
MOL,INDIA/WEST AFRICA,ELEGANT ACE,,,ELEGANT ACE 0071A,Sharjah ,AE SHJ,06/6/2022,07/6/2022
MOL,INTRA ASIA(MOL OPERATED),WORLD SPIRIT,,,WORLD SPIRIT 0235A,Jakarta,ID TPP,07/6/2022,07/6/2022
MOL,SOUTH AMERICA TOYOTA FULL,LIBERTY ACE,,,LIBERTY ACE 0138A,San Lorenzo,HN SLO,07/6/2022,08/6/2022
MOL,ESPEX,MIRACULOUS ACE,,,MIRACULOUS ACE 0112A,Xingang,CN XGA,07/6/2022,08/6/2022
MOL,MXUS-EAST,ADRIA ACE,,,ADRIA ACE 0113A,Veracruz,MX VER,06/6/2022,08/6/2022
MOL,MXUS-EAST,ADRIA ACE,,,ADRIA ACE 0112A,Veracruz,MX VER,06/6/2022,08/6/2022
MOL,INDIA/RED SEA,MERIDIAN ACE,,,MERIDIAN ACE 0186A,Mombasa ,KE MBA,08/6/2022,08/6/2022
MOL,ISCSAF-SL,PRECIOUS ACE,,,PRECIOUS ACE 0080A,Port Louis,MU PLU,08/6/2022,09/6/2022
MOL,INTRA ASIA(MOL OPERATED),T VESSEL S,,,SEASEA_IA 09 JUN,Laem Chabang ,TH LCH,08/6/2022,09/6/2022
MOL,INTRA ASIA(MOL OPERATED),ASTRAL ACE,,,ASTRAL ACE 0334A,Laem Chabang ,TH LCH,08/6/2022,09/6/2022
MOL,INDIA/MIDDLE EAST,SALVIA ACE,,,SALVIA ACE 0128A,Mumbai,IN BOM,08/6/2022,09/6/2022
MOL,NAPEX,GALAXY ACE,,,GALAXY ACE 0073A,Xingang,CN XGA,09/6/2022,09/6/2022
MOL,NAAS-MAGELLAN,NEPTUNE ACE,,,NEPTUNE ACE 0092A,Callao ,PE CLL,08/6/2022,09/6/2022
MOL,ESPEX-SC,VIKING SEA,,,VIKING SEA 0003E,Xinsha ,CN XNA,09/6/2022,09/6/2022
MOL,ESPEX,MIRACULOUS ACE,,,MIRACULOUS ACE 0112A,Pyeongtaek ,KR PTK,09/6/2022,10/6/2022
MOL,SOUTH AMERICA TOYOTA FULL,LIBERTY ACE,,,LIBERTY ACE 0138A,Puerto,HN PCR,09/6/2022,10/6/2022
MOL,NAPEX,RUBY ACE,,,RUBY ACE 0098A,Baltimore,US BAL,10/6/2022,10/6/2022
MOL,MXUS-EAST,BRAVERY ACE,,,BRAVERY ACE 0140A or sub,Veracruz,MX VER,08/6/2022,10/6/2022
MOL,INTRA ASIA(MOL OPERATED),WORLD SPIRIT,,,WORLD SPIRIT 0235A,Port Kelang,MY PKL,10/6/2022,10/6/2022
MOL,ESPEX,VICTORIOUS ACE,,,VICTORIOUS ACE 0059A,Zeebrugge ,BE ZEE,10/6/2022,10/6/2022
MOL,UPAC,VALIANT ACE,,,VALIANT ACE 0081A,Singapore ,SG SIN,10/6/2022,11/6/2022
MOL,3CS,SERENITY ACE,,,SERENITY ACE 0106A,East London ,ZA ELS,10/6/2022,11/6/2022
MOL,ESPEX,WISDOM ACE,,,WISDOM ACE 0072A,Singapore ,SG SIN,11/6/2022,11/6/2022
MOL,INTRA ASIA(MOL OPERATED),T VESSEL S,,,SEASEA_IA 09 JUN,Singapore ,SG SIN,11/6/2022,12/6/2022
MOL,MXUS-EAST,BRAVERY ACE,,,BRAVERY ACE 0139A,Veracruz,MX VER,09/6/2022,12/6/2022
MOL,ESPEX,VICTORIOUS ACE,,,VICTORIOUS ACE 0059A,Antwerpen,BE ANR,11/6/2022,12/6/2022
MOL,NAAS-MAGELLAN,NEPTUNE ACE,,,NEPTUNE ACE 0092A,Manta ,EC MEC,12/6/2022,12/6/2022
MOL,3CS,SERENITY ACE,,,SERENITY ACE 0106A,Durban ,ZA DUR,12/6/2022,12/6/2022
MOL,ESPEX-SC,VIKING SEA,,,VIKING SEA 0003E,Shanghai,CN SHA,12/6/2022,12/6/2022
MOL,MXUS-EAST,ADRIA ACE,,,ADRIA ACE 0113A,Brunswick,US BCK,12/6/2022,13/6/2022
MOL,ESPEX,MIRACULOUS ACE,,,MIRACULOUS ACE 0112A,Hitachi ,JP HTC,12/6/2022,13/6/2022
MOL,SAFEU,MARVELOUS ACE,,,MARVELOUS ACE 0122A,Vigo ,ES VGO,12/6/2022,13/6/2022
MOL,INDIA/MIDDLE EAST,SUNRISE ACE,,,SUNRISE ACE 0109A,Dammam ,SA DMN,11/6/2022,13/6/2022
MOL,3CS,DIVINE ACE,,,DIVINE ACE 0078A,"Vitoria, Es ",BR VIX,13/6/2022,13/6/2022
MOL,NAAS-MAGELLAN,NEPTUNE ACE,,,NEPTUNE ACE 0092A,Esmeraldas ,EC ESM,13/6/2022,13/6/2022
MOL,ISCSAF-SL,PRECIOUS ACE,,,PRECIOUS ACE 0080A,Maputo ,MZ MPM,13/6/2022,13/6/2022
MOL,INDIA/MIDDLE EAST,SALVIA ACE,,,SALVIA ACE 0128A,Jebel,AE JEA,13/6/2022,14/6/2022
MOL,ISCSAF-SL,BLANCO ACE,,,BLANCO ACE 0008A,Durban ,ZA DUR,11/6/2022,14/6/2022
MOL,INTRA ASIA(MOL OPERATED),T VESSEL S,,,SEASEA_IA 09 JUN,Jakarta,ID TPP,14/6/2022,14/6/2022
MOL,MXUS-EAST,BRAVERY ACE,,,BRAVERY ACE 0140A or sub,Jacksonville ,US JAX,14/6/2022,14/6/2022
MOL,3CS,DIVINE ACE,,,DIVINE ACE 0078A,Santos,BR SSZ,14/6/2022,15/6/2022
MOL,ESPEX,WISDOM ACE,,,WISDOM ACE 0072A,Hong Kong ,HK HKG,15/6/2022,15/6/2022
MOL,NAPEX,RUBY ACE,,,RUBY ACE 0098A,Charleston,US CHS,15/6/2022,15/6/2022
MOL,INDIA/WEST AFRICA,ELEGANT ACE,,,ELEGANT ACE 0071A,Mombasa ,KE MBA,14/6/2022,15/6/2022
MOL,SAFEU,PRECIOUS ACE,,,PRECIOUS ACE 0081A,Durban ,ZA DUR,14/6/2022,15/6/2022
MOL,ISCSAF-SL,PRECIOUS ACE,,,PRECIOUS ACE 0080A,Durban ,ZA DUR,14/6/2022,15/6/2022
MOL,INTRA ASIA(MOL OPERATED),T VESSEL S,,,SEASEA_IA 16 JUN,Laem Chabang ,TH LCH,15/6/2022,16/6/2022
MOL,NAPEX,GALAXY ACE,,,GALAXY ACE 0073A,Shanghai,CN SHA,15/6/2022,16/6/2022
MOL,INTRA ASIA(MOL OPERATED),WORLD SPIRIT,,,WORLD SPIRIT 0235A,Laem Chabang ,TH LCH,15/6/2022,16/6/2022
MOL,MXUS-EAST,BRAVERY ACE,,,BRAVERY ACE 0140A or sub,Brunswick,US BCK,15/6/2022,16/6/2022
MOL,SAFEU,MARVELOUS ACE,,,MARVELOUS ACE 0122A,Bremerhaven ,DE BRV,15/6/2022,16/6/2022
MOL,MXUS-EAST,ADRIA ACE,,,ADRIA ACE 0113A,Baltimore,US BAL,15/6/2022,16/6/2022
MOL,UPAC,VALIANT ACE,,,VALIANT ACE 0081A,Taichung ,TW TXG,16/6/2022,16/6/2022
MOL,NAPEX,RUBY ACE,,,RUBY ACE 0098A,Brunswick,US BCK,16/6/2022,16/6/2022
MOL,NAAS-MAGELLAN,NEPTUNE ACE,,,NEPTUNE ACE 0092A,Balboa ,CO BAL,16/6/2022,16/6/2022
